X,Y,CHARGERID,name,operator,owner,address,is24Hours,carParkCount,hasCarparkCost,maxTimeLimit,hasTouristAttraction,latitude,longitude,currentType,dateFirstOperational,numberOfConnectors,connectorsList,hasChargingCost
1366541.2354,5153202.1642,1,YHA MT COOK,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"4 Kitchener Dr, Mount Cook National Park 7999, New Zealand",True,1,False,Unlimited,False,-43.73745,170.100913,AC,2020/05/01 00:00:00+00,1,"{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:1}",True
1570148.5238,5173542.4743,2,CHRISTCHURCH ADVENTURE PARK,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"Worsleys Rd, Cashmere, Christchurch 8022, New Zealand",False,4,False,Unlimited,True,-43.59049,172.630201,AC,2020/05/01 00:00:00+00,4,"{AC, 44 kW, Type 2 Socketed, Status: Operative, Count:4}",False
1822955.3955,5488854.3202,3,PUKAHA NATIONAL WILDLIFE CENTRE,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"85379 State Highway 2, Mount Bruce 5881",True,2,False,Unlimited,True,-40.721068,175.639788,AC,2020/08/12 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",False
1458426.7115,5092867.9041,4,TIMARU AIRPORT,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"186 Falvey Road, Levels 7975, New Zealand",False,4,False,Unlimited,False,-44.303657,171.225107,AC,2020/10/09 00:00:00+00,4,"{AC, 44 kW, Type 2 Socketed, Status: Operative, Count:4}",False
1574161.4056,5177263.1348,5,THE TANNERY,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"3 Garlands Road, Woolston, Christchurch 8023",True,4,False,240,False,-43.557139,172.680089,AC,2020/10/09 00:00:00+00,4,"{AC, 44 kW, Type 2 Socketed, Status: Operative, Count:4}",False
1568290.4372,5179226.0935,6,TOWER JUNCTION SHOPPING MALL,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"Whiteleigh Avenue, Addington, Christchurch 8011",False,2,False,180,False,-43.539238,172.607516,AC,2020/08/25 00:00:00+00,2,"{AC, 44 kW, Type 2 Socketed, Status: Operative, Count:2}",False
1568058.0099,5179103.6026,7,TOWER JUNCTION SHOPPING MALL,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"Whiteleigh Avenue, Addington, Christchurch 8011",False,2,False,180,False,-43.540331,172.604632,AC,2020/08/25 00:00:00+00,2,"{AC, 44 kW, Type 2 Socketed, Status: Operative, Count:2}",False
1567017.748,5205250.0815,8,VICTORIA PARK & RANGIORA LIBRARY,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"131 Percival Street, Rangiora 7400",True,4,False,120,False,-43.3048577589673,172.593335181474,AC,2020/12/23 00:00:00+00,4,"{AC, 44 kW, Type 2 Socketed, Status: Operative, Count:4}",False
1759726.6353,5428336.3443,9,WILLIAMS PARK EASTBOURNE,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"611 Marine Drive, Eastbourne 5013",True,3,False,180,False,-41.2806205053318,174.907278103088,Mixed,2021/05/14 00:00:00+00,4,"{AC, 44 kW, Type 2 Socketed, Status: Operative, Count:2},{DC, 25 kW, CHAdeMO, Status: Operative, Count:1},{DC, 25 kW, Type 2 CCS, Status: Operative, Count:1}",False
1758843.5704,5427254.5844,10,OROUA STREET EASTBOURNE,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"11 Oroua Street, Eastbourne 5013",True,2,False,180,False,-41.2905336020686,174.89702121918,AC,2021/05/13 00:00:00+00,2,"{AC, 44 kW, Type 2 Socketed, Status: Operative, Count:2}",False
